Title,Perusahaan,Kategori,Lokasi,Skills
COMMUNITY OFFICER - JAWA TIMUR,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KOTA SURABAYA,Marketing Communications
Sales Representative,Finartindo Kriya Abadi,Penjualan dan Pemasaran,KAB. TANGERANG,"Communication, Negotiation, Microsoft Office, Sales & Marketing"
Crew Dcrepes Balikpapan,PT. Jaddi Globalindo,Operasi Restoran,KOTA BALIKPAPAN,"cook, komunikasi, Customer Service"
Staff Business Consultant (BC),PT. Rifan Financindo Berjangka Semarang,Marketing dan Relasi Publik,KOTA SEMARANG,"Marketing, Sales Strategy & Management, Microsoft Office, Public Speaking & Presentations, Communication Skills, Marketing Strategy, Marketing Management, Sales & Marketing, Marketing Communications"
ENGINEER - ISTRUMENTATION,PT. Amman Mineral Industri/84457,"Teknik, Elektro",KAB. SUMBAWA BARAT,"Microsoft Office, SAP"
Account Officer Blitar JawaTimur,PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
SR. SUPV MECHANICAL MAINTENANCE,PT. Amman Mineral Industri/84457,"Teknik, Mesin",KAB. SUMBAWA BARAT,"Microsoft Office, Leadership"
TECHNICIAN - GC SAP PLANT - ACID STORAGE & LOADING,PT. Amman Mineral Industri/84457,Operasional,KAB. SUMBAWA BARAT,Operations
TECHNICIAN - WATER TREATMENT,PT. Amman Mineral Industri/84457,Operasional,KAB. SUMBAWA BARAT,Teknisi - Water Treatment
Account Officer Blitar Raya,PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Account Officer Blitar Raya,PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. TULUNGAGUNG,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Account Officer Blitar,PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. TULUNGAGUNG,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Account Officer Blitar,PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
COMMUNITY OFFICER - ACEH,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KOTA BANDA ACEH,"Communication Skills, Community Management"
COMMUNITY OFFICER - SUMATERA UTARA,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KOTA MEDAN,"Communication Skills, Community Management"
COMMUNITY OFFICER - KALIMANTAN TIMUR,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KOTA SAMARINDA,"Communication Skills, Community Management"
COMMUNITY OFFICER KALIMANTAN TENGAH,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KOTA PALANGKARAYA,"Communication Skills, Marketing Communications, Community Management"
Asisten Manager Finance & Acc,Jec Medika Primasana,Akuntansi & Keuangan,Jakarta,"Microsoft Excel, Microsoft Office, Risk Analysis"
