Title,Perusahaan,Kategori,Lokasi,Skills
Digital Marketing,Bimbel RaKids Learning Center,Digital Marketing,Jakarta Selatan,"photoshop, Facebook Ads., Capcut, Graphic Design Photoshop CorelDraw Illustrator, Pemasaran Digital, Komunikasi Lisan dan Tertulis"
Content Creator,PT AgriFamili Sarana Exedis Indonesia,Content Creator,Bogor,"Editing, Conten Creator, Capcut Mengedit Video Untuk Reels Instagram maupun untuk Video Tiktok"
Market Audit Verifikator,PT Motasa Indonesia,Market &amp; Customer Research,Surabaya,"Audit, Bisa memahami peta Google maps, Market"
Staff Admin Social Media,PT Motasa Indonesia,Admin Social Media,Mojokerto,"Admin Media social, analisi trend media sosial"
Staff Content Creator,PT Motasa Indonesia,Content Creator,Mojokerto,"Social Media, Content Creating, Adaptasi tren digital terbaru"
Assistant Manager Produser Medsos,PT Motasa Indonesia,Content Manager,Mojokerto,"Manajemen waktu, Kepemimpinan dan Pengembangan Tim, Komunikatif Negosiatif"
Marketing Officer,PT. Packindo Seal,Marketing Officer,Jakarta Utara,"Kemampuan komunikasi dengan baik, berinteraksi di depan umum dan inisiatif."
Brand Marketing Manager Fashion Batik,Tarian Mas,Brand Marketing,Bandung Kota,"marketing, Digital Marketing, Sales Marketing Strategy"
Marketing Manager,YAYASAN EL JOHN INDONESIA,Manager Marketing,Jakarta Barat,marketing
Digital Marketing (Content Creator),PT ZHULIAN AZANA NETWORK,Content Creator,Medan,"Video Editing, Grafis Adobe Photoshop, Photo Scape, Conten Creation"
Admin Sosial Media,Lafa Trade Indonesia,Admin Social Media,Jakarta Pusat,"Time Management, Teamwork, Analytical Skill, Social Media Management, Content creation, Basic Design, Copywriting â Menulis konten promosi, caption media sosial, dan deskripsi produk yang menarik dan persuasif., Customer Engagement"
Staff Marketing Kantor,CV HARIJAYA,Marketing Executive,Sidoarjo,"Mampu mengoperasikan aplikasi keuangan ACCURATED ada pelatihannya - Mampu mengoperasikan aplikasi whatapp, IG, Website secara cepat - Mampu bekerja secara Team"
Digital Marketing Staff,PT. Surya Vita Kencana,Digital Marketing,Jakarta Utara,Digital Marketing
Social Media Specialist,Global Art Indonesia,Social Media Specialist,Tangerang,"Microsoft Excel, Canva, Capcut, Adobe Premiere, After Effect, Photoshop, Microsoft Word"
Content Creator,The Ahad,Content Creator,Remote,"Canva, Capcut, Content creation, Storytelling"
Content Creator,Universitas Efarina,Content Creator,Pematang Siantar,"Video Editing, Conten Creator, Fotografi dan Videografi"
Content Creator,Kingkong Autocare,Content Creator,Bekasi,Konten Digital Kreatif
Marketing,Ajisaka Resto dan Pemancingan,Marketing Executive,Kota Yogyakarta,"Selling, Marketing and Promotion"
Digital Marketing,BJF Homedecor,Digital Marketing,Sleman,Marketing online
Junior Content Creator,PT. Nurra Eye Center Kerinci,Content Creator,Cibinong,Foto dan Video Editing
Marketing Staff,PT Neo Starindo Plastik,Staff Marketing,Surabaya,Kemampuan interpersonal - kemampuan bekerja sama dalam tim dan terampil menangani klien dengan sikap profesional
Marketing Officer,Draw Trading Corp,Marketing Officer,Bandung Barat,"Customer Service, Event-handling, Pemasaran dan Penjualan"
KOL Specialist,PT LVI TECHNOLOGY NUSANTARA,KOL Specialist,Tangerang,"Negosiasi, Komunikasi dan interaksi, Komunikasi interpersonal yang baik Pemahaman tren terkini terkait KOL Pengetahuan pemasaran digital dan teknik analisis data Keterampilan negosiasi dan manajemen waktu yang baik"
Product Manager,Company Confidential,Manajemen Pemasaran,Bandung Kota,"Penjualan atau marketing, Koordinator Penjualan untuk Salah satu produk kosmetik Korea selama 5 tahun."
Sosial Media Specialist,PT. Indo SariJaya Lestari,Social Media Specialist,Tangerang Selatan,"Social Media, Adobe Premiere, Copy Writing"
Staff Marketing,Dofla Land Property,Staff Marketing,Padang,"marketing, Komunikasi"
